"species" "yearbirth" "littersizebirth" "littersizeweaning" "sexratiobirth" "sexratioweaning" "survlitter48h" "survlitterweaning" "survlittersexmat" "agedam" "agemaxdam" "agesire" "agemaxsire"
"70" "Vrubra" 2011 3 3 0.666666666666667 0.666666666666667 1 1 1 8 10.07 17 21.68
"71" "Vrubra" 2010 2 2 0 0 1 1 1 16 21.72 23 23.07
"72" "Vrubra" 2001 1 1 0 0 1 1 1 13 15.81 11 21.28
"73" "Vrubra" 2005 2 2 1 1 1 1 1 3 13.75 4 14.75
"74" "Vrubra" 1990 1 1 0 0 1 1 1 10 28.74 8 33.6
"75" "Vrubra" 2000 1 1 0 0 1 1 1 17 29.96 17 22.31
"76" "Vrubra" 2003 2 0 0.5 NA 0.5 0 0 3 8.62 10 15.42
"77" "Vrubra" 2003 2 0 1 NA 0 0 0 9 21.75 9 15.87
"78" "Vrubra" 2007 2 2 1 1 1 1 1 12 20.69 11 19.64
"79" "Vrubra" 1988 2 2 0.5 0.5 1 1 1 4 20.44 4 27.93
"80" "Vrubra" 2006 3 3 0 0 1 1 1 10 19.55 10 19.54
"81" "Vrubra" 1998 3 1 0.666666666666667 0 0.666666666666667 0.333333333333333 0.333333333333333 9 26.74 10 27.75
"82" "Vrubra" 1990 2 0 0.5 NA 1 0 0 4 29.72 5 6.21
"83" "Vrubra" 1989 1 0 0 NA 0 0 0 5 5.31 6 21.33
"84" "Vrubra" 2011 2 0 0.5 NA 0 0 0 16 20.69 15 19.64
"85" "Vrubra" 1993 2 2 0.5 0.5 1 1 1 8 17.61 8 11.42
"86" "Vrubra" 1995 2 2 1 1 1 1 1 15 28.74 13 33.6
"87" "Vrubra" 2000 1 0 1 NA 0 0 0 12 15.81 10 21.28
"88" "Vrubra" 2008 1 1 0 0 1 1 1 7 8.98 13 20.64
"89" "Vrubra" 1999 1 1 0 0 1 1 1 7 23.6 14 30.52
"90" "Vrubra" 1985 3 3 0.666666666666667 0.666666666666667 1 1 1 4 10.95 2 16.12
"91" "Vrubra" 2002 1 1 0 0 1 1 1 5 16.03 6 19.65
"92" "Vrubra" 2014 1 1 1 1 1 1 1 5 6.62 13 14.74
"93" "Vrubra" 2009 1 1 1 1 1 1 1 10 10.32 5 5.19
"94" "Vrubra" 2002 4 0 0.5 NA 0.5 0 0 5 18.72 4 17.74
"95" "Vrubra" 1989 1 1 0 0 1 1 1 2 28.52 4 30.52
"96" "Vrubra" 1997 2 0 0 NA 0 0 0 8 18.28 9 19.31
"97" "Vrubra" 2005 3 3 0.333333333333333 0.333333333333333 1 1 0.666666666666667 11 14.64 12 15.42
"98" "Vrubra" 2014 1 1 1 1 1 1 1 13 14.78 11 12.72
"99" "Vrubra" 2005 1 1 0 0 1 1 1 6 16.65 5 15.67
"100" "Vrubra" 2005 2 2 1 1 1 1 1 12 22.74 11 21.71
"101" "Vrubra" 1987 3 3 1 1 1 1 1 9 14.51 4 29.9
"102" "Vrubra" 2004 1 1 1 1 1 1 1 15 24.12 6 17.63
"103" "Vrubra" 1994 3 3 0.333333333333333 0.333333333333333 1 1 1 14 28.74 12 33.6
"104" "Vrubra" 2003 2 2 0 0 1 1 1 6 18.72 5 17.74
"105" "Vrubra" 2006 1 1 0 0 1 1 1 5 14.75 5 14.77
"106" "Vrubra" 1989 1 0 1 NA 1 0 0 4 17.61 4 11.42
"107" "Vrubra" 1982 3 2 0.333333333333333 0.5 0.666666666666667 0.666666666666667 0.666666666666667 4 14.51 7 14.59
"108" "Vrubra" 2014 2 2 0 0 1 1 1 9 10.7 8 9.6
"109" "Vrubra" 1999 1 1 1 1 1 1 1 11 27.65 11 27.62
"110" "Vrubra" 1986 3 3 0.666666666666667 0.666666666666667 1 1 1 13 22.65 3 11.99
"111" "Vrubra" 2003 1 0 0 NA 1 0 0 7 19.75 7 19.72
"112" "Vrubra" 2007 3 3 0 0 1 1 1 7 15.71 12 15.46
"113" "Vrubra" 1993 3 2 0.666666666666667 1 NA NA NA 7 29.72 4 26.71
"114" "Vrubra" 1989 2 0 1 NA 0.5 0 0 3 14.88 6 27.51
"115" "Vrubra" 2012 1 1 1 1 1 1 1 3 5.27 11 14.68
"116" "Vrubra" 1992 1 1 1 1 1 1 1 19 22.65 4 6.69
"117" "Vrubra" 2005 2 2 0.5 0.5 1 1 1 10 11.15 9 15.38
"118" "Vrubra" 1991 2 0 1 NA 1 0 0 4 28.42 4 10.06
"119" "Vrubra" 2014 1 1 1 1 1 1 1 17 18.72 16 17.74
"120" "Vrubra" 2010 2 2 0.5 0.5 1 1 1 15 15.01 9 14.68
"121" "Vrubra" 1991 2 1 1 1 0.5 0.5 0.5 10 34.78 10 22
"122" "Vrubra" 2002 1 0 1 NA 0 0 0 8 21.74 6 19.69
"123" "Vrubra" 2007 1 0 1 NA 1 0 0 8 16.65 7 15.67
"124" "Vrubra" 2001 4 1 0.75 0 1 0.25 0.25 8 22.64 8 22.64
"125" "Vrubra" 2010 2 2 0.5 0.5 1 1 1 13 18.75 14 19.67
"126" "Vrubra" 2003 4 3 0.5 0.333333333333333 0.75 0.75 0.75 7 19.75 7 19.72
"127" "Vrubra" 1989 1 1 1 1 1 1 0 5 20.44 5 27.93
"128" "Vrubra" 1979 1 1 0 0 1 1 1 5 10.83 6 11.79
"129" "Vrubra" 1990 3 2 0.333333333333333 0.5 0.666666666666667 0.666666666666667 0.666666666666667 3 28.72 5 27.62
"130" "Vrubra" 2009 2 2 0 0 1 1 1 6 12.67 14 20.66
"131" "Vrubra" 1993 3 3 0.666666666666667 0.666666666666667 1 1 1 15 27.72 11 33.6
"132" "Vrubra" 2015 3 2 0.666666666666667 0.333333333333333 1 0.666666666666667 0 4 4.65 30 30.52
"133" "Vrubra" 2012 1 1 0 0 1 1 1 3 6.76 12 15.7
"134" "Vrubra" 1988 2 2 0.5 0.5 1 1 1 6 17.76 5 8.13
"135" "Vrubra" 1997 3 3 0.666666666666667 0.666666666666667 1 1 1 7 8.84 7 21.04
"136" "Vrubra" 1998 1 1 1 1 1 1 1 20 27.72 4 21.75
"137" "Vrubra" 2000 1 1 0 0 1 1 1 6 21.75 6 15.87
"138" "Vrubra" 2009 2 2 0.5 0.5 1 1 1 8 14.74 15 21.72
"139" "Vrubra" 2001 2 2 0.5 0.5 1 1 1 17 19.36 10 23.7
"140" "Vrubra" 1981 1 1 0 0 1 1 1 3 14.51 6 14.59
"141" "Vrubra" 1990 1 0 1 NA 0 0 0 8 30.42 12 34.51
"142" "Vrubra" 2003 2 2 0.5 0.5 1 1 1 3 15.7 4 16.69
"143" "Vrubra" 2000 2 2 0 0 1 1 1 7 22.75 7 22.75
"144" "Vrubra" 1983 2 1 0.5 1 0.5 0.5 0.5 15 16.8 15 21.26
"145" "Vrubra" 1978 3 3 0.666666666666667 0.666666666666667 1 1 1 17 35.79 3 20.13
"146" "Vrubra" 1983 3 3 0.666666666666667 0.666666666666667 1 1 1 5 27.72 4 21.8
"147" "Vrubra" 1990 1 1 0 0 1 1 1 12 28.58 10 19.79
"148" "Vrubra" 2006 2 0 1 NA 1 0 0 12 21.75 12 15.87
"149" "Vrubra" 2010 4 4 0.75 0.75 1 1 1 6 11.65 9 14.75
"150" "Vrubra" 1982 2 0 1 NA 0 0 0 14 16.8 8 18.72
"151" "Vrubra" 2011 2 2 0.5 0.5 1 1 1 4 8.74 4 8.64
"152" "Vrubra" 2006 1 1 0 0 1 1 1 5 14.56 12 21.71
"153" "Vrubra" 2003 3 3 0.333333333333333 0.333333333333333 1 1 1 13 18.32 13 21.28
"154" "Vrubra" 1994 1 0 1 NA 0 0 0 10 20.44 10 27.93
"155" "Vrubra" 1982 3 3 0.333333333333333 0.333333333333333 1 1 1 8 10.83 9 11.79
"156" "Vrubra" 1995 2 2 0.5 0.5 1 1 1 4 24.75 5 25.72
"157" "Vrubra" 1992 2 2 0.5 0.5 1 1 1 4 27.65 4 27.62
"158" "Vrubra" 1994 3 3 0.666666666666667 0.666666666666667 1 1 1 8 29.69 4 25.72
"159" "Vrubra" 2011 3 0 0.666666666666667 NA 0 0 0 19 23.6 26 30.52
"160" "Vrubra" 1988 1 1 0 0 1 1 1 4 19.36 4 20.33
"161" "Vrubra" 2011 4 4 0.25 0.25 1 1 1 13 17.59 7 11.7
"162" "Vrubra" 2001 1 0 0 NA 0 0 0 13 15.81 11 21.28
"163" "Vrubra" 2009 1 1 1 1 1 1 1 12 18.75 12 18.77
"164" "Vrubra" 1994 4 4 0.75 0.75 1 1 1 16 27.72 12 33.6
"165" "Vrubra" 1994 1 1 1 1 1 1 1 3 24.67 2 22.27
"166" "Vrubra" 2001 1 0 1 NA 0 0 0 11 20.88 15 16.47
"167" "Vrubra" 1989 2 2 1 1 1 1 0 10 14.55 21 21.26
"168" "Vrubra" 1994 1 0 0 NA 0 0 0 12 30.42 9 30.52
"169" "Vrubra" 1989 2 1 0.5 0 0.5 0.5 0.5 8 34.78 8 22
"170" "Vrubra" 2002 1 1 0 0 1 1 1 14 27.65 14 27.62
"171" "Vrubra" 2007 3 0 0.333333333333333 0 1 0 0 10 12.27 7 15.78
"172" "Vrubra" 1995 1 1 1 1 1 1 1 6 18.28 7 19.31
"173" "Vrubra" 2014 2 1 1 1 1 0.5 0.5 21 22.69 17 18.77
"174" "Vrubra" 1998 2 2 1 1 1 1 1 7 20.6 6 23.63
"175" "Vrubra" 1998 1 0 1 NA 1 0 0 4 10.16 5 15.42
"176" "Vrubra" 2007 3 3 1 1 1 1 1 15 23.6 22 30.52
"177" "Vrubra" 1997 3 3 1 1 1 1 1 11 29.72 8 26.71
"178" "Vrubra" 1991 1 1 1 1 1 1 1 3 27.62 6 6.21
"179" "Vrubra" 2015 1 0 1 NA 1 0 0 11 11.68 20 20.7
"180" "Vrubra" 2015 2 2 1 1 1 1 0 7 7.56 21 21.75
"181" "Vrubra" 2014 2 2 1 1 1 1 0.5 16 17.73 7 8.62
